"FIN","ST","Car #","Driver","Make","TOT PTS","F PTS","B PTS","PO PTS","Laps","Led","x Led","S1","S2","STUS"
"1","5","2","Austin Cindric","Ford","45","40","5","5","201","21","4","0","6","Running"
"2","16","23","Bubba Wallace","Toyota","43","35","8","0","201","12","7","0","3","Running"
"3","9","14","Chase Briscoe","Ford","34","34","0","0","201","0","0","0","0","Running"
"4","7","12","Ryan Blaney","Ford","33","33","0","0","201","36","1","0","0","Running"
"5","38","10","Aric Almirola","Ford","32","32","0","0","201","0","0","0","0","Running"
"6","10","18","Kyle Busch","Toyota","31","31","0","0","201","28","4","0","0","Running"
"7","6","34","Michael McDowell","Ford","30","30","0","0","201","0","0","0","0","Running"
"8","34","15","David Ragan","Ford","29","29","0","0","201","0","0","0","0","Running"
"9","3","6","Brad Keselowski","Ford","44","28","16","0","201","67","6","2","4","Running"
"10","11","9","Chase Elliott","Chevrolet","28","27","1","0","201","0","0","10","0","Running"
"11","26","42","Ty Dillon","Chevrolet","26","26","0","0","201","0","0","0","0","Running"
"12","33","16","Daniel Hemric","Chevrolet","0","0","0","0","201","0","0","0","0","Running"
"13","14","19","Martin Truex Jr","Toyota","44","24","20","2","201","11","3","1","1","Running"
"14","24","7","Corey Lajoie","Chevrolet","23","23","0","0","201","0","0","0","0","Running"
"15","27","77","Landon Cassill","Chevrolet","0","0","0","0","201","0","0","0","0","Running"
"16","4","17","Chris Buescher","Ford","25","21","4","0","200","0","0","0","7","Running"
"17","32","51","Cody Ware","Ford","20","20","0","0","200","0","0","0","0","Running"
"18","21","99","Daniel Suarez","Chevrolet","19","19","0","0","199","0","0","0","0","Running"
"19","17","45","Kurt Busch","Toyota","22","18","4","0","199","0","0","7","0","Running"
"20","31","41","Cole Custer","Ford","17","17","0","0","199","0","0","0","0","Running"
"21","20","22","Joey Logano","Ford","31","16","15","0","198","1","1","5","2","Running"
"22","40","27","Jacques Villeneuve","Ford","15","15","0","0","198","0","0","0","0","Running"
"23","25","31","Justin Haley","Chevrolet","14","14","0","0","198","0","0","0","0","Running"
"24","2","48","Alex Bowman","Chevrolet","13","13","0","0","197","0","0","0","0","Running"
"25","36","3","Austin Dillon","Chevrolet","17","12","5","0","197","1","1","6","0","Running"
"26","35","50","Kaz Grala","Chevrolet","11","11","0","0","196","0","0","0","0","Running"
"27","37","78","BJ McLeod","Ford","10","10","0","0","196","0","0","0","0","Running"
"28","18","47","Ricky Stenhouse Jr","Chevrolet","22","9","13","0","194","16","3","4","5","Accident"
"29","13","43","Erik Jones","Chevrolet","11","8","3","0","191","3","1","8","0","Accident"
"30","22","4","Kevin Harvick","Ford","10","7","3","0","191","0","0","0","8","DVP"
"31","39","62","Noah Gragson","Chevrolet","0","0","0","0","190","0","0","0","0","Accident"
"32","1","5","Kyle Larson","Chevrolet","9","5","4","0","190","1","1","9","9","Accident"
"33","29","38","Todd Gilliland","Ford","13","4","9","0","190","0","0","3","10","Accident"
"34","12","20","Christopher Bell","Toyota","3","3","0","0","152","0","0","0","0","Accident"
"35","15","8","Tyler Reddick","Chevrolet","2","2","0","0","151","0","0","0","0","Accident"
"36","28","44","Greg Biffle","Chevrolet","1","1","0","0","136","0","0","0","0","Running"
"37","30","11","Denny Hamlin","Toyota","1","1","0","0","63","0","0","0","0","Accident"
"38","23","24","William Byron","Chevrolet","1","1","0","0","62","1","1","0","0","Accident"
"39","8","21","Harrison Burton","Ford","1","1","0","0","62","3","2","0","0","Accident"
"40","19","1","Ross Chastain","Chevrolet","1","1","0","0","62","0","0","0","0","Accident"
