"FIN","ST","Car #","Driver","Make","TOT PTS","F PTS","B PTS","Laps","Led","STUS"
"1","11","11","Denny Hamlin","Toyota","45","40","5","200","95","Running"
"2","28","78","Martin Truex Jr","Toyota","40","39","1","200","2","Running"
"3","4","18","Kyle Busch","Toyota","39","38","1","200","19","Running"
"4","9","4","Kevin Harvick","Chevrolet","37","37","0","200","0","Running"
"5","10","19","Carl Edwards","Toyota","36","36","0","200","0","Running"
"6","5","22","Joey Logano","Ford","35","35","0","200","0","Running"
"7","14","42","Kyle Larson","Chevrolet","34","34","0","200","0","Running"
"8","27","7","Regan Smith","Chevrolet","33","33","0","200","0","Running"
"9","21","3","Austin Dillon","Chevrolet","33","32","1","200","1","Running"
"10","8","41","Kurt Busch","Chevrolet","31","31","0","200","0","Running"
"11","38","31","Ryan Newman","Chevrolet","31","30","1","200","1","Running"
"12","34","43","Aric Almirola","Ford","29","29","0","200","0","Running"
"13","13","5","Kasey Kahne","Chevrolet","28","28","0","200","0","Running"
"14","2","20","Matt Kenseth","Toyota","28","27","1","200","40","Running"
"15","39","59","Michael McDowell","Chevrolet","26","26","0","200","0","Running"
"16","26","48","Jimmie Johnson","Chevrolet","26","25","1","200","18","Running"
"17","6","1","Jamie McMurray","Chevrolet","24","24","0","200","0","Running"
"18","37","27","Paul Menard","Chevrolet","23","23","0","200","0","Running"
"19","7","21","Ryan Blaney","Ford","22","22","0","200","0","Running"
"20","25","2","Brad Keselowski","Ford","22","21","1","200","1","Running"
"21","30","47","AJ Allmendinger","Chevrolet","20","20","0","200","0","Running"
"22","19","17","Ricky Stenhouse Jr","Ford","19","19","0","200","0","Running"
"23","24","38","Landon Cassill","Ford","18","18","0","200","0","Running"
"24","35","44","Brian Scott","Ford","18","17","1","200","1","Running"
"25","12","95","Ty Dillon","Chevrolet","16","16","0","200","0","Running"
"26","18","14","Brian Vickers","Chevrolet","15","15","0","200","0","Running"
"27","22","46","Michael Annett","Chevrolet","15","14","1","200","1","Running"
"28","23","6","Trevor Bayne","Ford","13","13","0","200","0","Running"
"29","29","23","David Ragan","Toyota","13","12","1","200","1","Running"
"30","36","83","Michael Waltrip","Toyota","12","11","1","200","1","Running"
"31","33","32","Bobby Labonte","Ford","11","10","1","200","1","Running"
"32","32","13","Casey Mears","Chevrolet","9","9","0","199","0","Running"
"33","31","15","Clint Bowyer","Chevrolet","8","8","0","199","0","Running"
"34","15","16","Greg Biffle","Ford","7","7","0","198","0","Running"
"35","16","10","Danica Patrick","Chevrolet","6","6","0","184","0","Accident"
"36","3","88","Dale Earnhardt Jr","Chevrolet","6","5","1","169","15","Accident"
"37","1","24","Chase Elliott","Chevrolet","5","4","1","160","3","Running"
"38","40","26","Robert Richardson Jr","Toyota","3","3","0","135","0","Engine"
"39","17","34","Chris Buescher","Ford","2","2","0","91","0","Accident"
"40","20","93","Matt DiBenedetto","Toyota","1","1","0","91","0","Accident"
