"Driver","ST","50%","10%","FIN","HI","LW","AVG","PC D","Pass","Passed","PS D","Q PASS","Fast","%T15","TOT Led","Laps","Rating","TOT PTS"
"Alex Bowman","2","14","25","24","1","30","14.1","-22","230","247","-17","170","3","58.4%","3","203","86.7","22"
"Aric Almirola","5","31","30","22","1","35","15.9","-17","205","213","-8","128","1","52.2%","6","205","67.4","23"
"Austin Dillon","13","12","18","12","1","31","15.9","+1","241","254","-13","158","6","40.7%","0","209","81.1","25"
"BJ McLeod","38","38","38","38","3","40","34.1","+0","52","53","-1","0","2","2.9%","0","105","29.7","0"
"Brad Keselowski","9","7","35","36","1","19","10.6","-27","203","217","-14","184","0","85.7%","30","183","89.7","1"
"Brendan Gaughan","39","28","26","7","3","40","28.6","+32","103","84","+19","17","4","7.7%","0","209","52.9","0"
"Brennan Poole","34","35","23","16","8","40","32.1","+18","74","76","-2","1","3","3.8%","0","209","38.8","21"
"Bubba Wallace","11","22","21","15","2","40","26.0","-4","114","145","-31","30","9","10.5%","0","209","63.3","22"
"Chase Elliott","25","5","3","17","1","34","11.0","+8","269","230","+39","181","6","72.7%","23","209","95.5","34"
"Chris Buescher","19","15","15","3","1","39","12.5","+16","290","264","+26","202","3","75.1%","0","209","90.3","37"
"Christopher Bell","17","10","2","21","1","40","18.9","-4","228","229","-1","173","4","54.1%","0","205","68.4","16"
"Clint Bowyer","29","30","7","6","1","40","27.6","+23","104","104","+0","35","2","17.2%","0","209","58.2","31"
"Cole Custer","12","25","37","37","1","35","24.0","-25","99","160","-61","56","1","20.1%","0","174","60.9","1"
"Corey Lajoie","36","33","11","8","1","40","25.7","+28","132","112","+20","20","1","15.8%","1","209","57.3","29"
"David Ragan","30","21","22","4","1","40","19.3","+26","175","165","+10","31","7","21.5%","0","209","83.7","33"
"Denny Hamlin","21","1","5","1","1","40","12.9","+20","125","124","+1","84","8","67.0%","79","209","101.6","50"
"Erik Jones","14","23","29","18","1","40","22.8","-4","146","182","-36","74","6","26.8%","0","208","61.6","19"
"Jimmie Johnson","6","8","34","35","1","39","13.0","-29","276","235","+41","198","4","71.8%","3","184","94.3","13"
"Joey Gase","37","37","36","23","1","40","33.7","+14","58","103","-45","2","0","1.4%","0","203","34.3","0"
"Joey Logano","3","11","4","26","1","35","9.0","-23","254","248","+6","228","4","89.5%","6","200","91.0","20"
"John Hunter Nemechek","23","26","17","11","1","40","22.8","+12","140","161","-21","18","7","10.5%","0","209","69.1","26"
"Justin Haley","33","29","20","13","1","40","26.2","+20","133","120","+13","11","7","6.7%","0","209","60.6","0"
"Kevin Harvick","10","32","6","5","1","38","19.6","+5","134","147","-13","78","2","46.4%","0","209","68.0","32"
"Kurt Busch","18","16","32","33","1","38","17.3","-15","259","245","+14","182","6","46.4%","0","184","77.0","4"
"Kyle Busch","28","3","33","34","1","40","17.3","-6","113","148","-35","88","0","54.6%","14","184","76.5","12"
"Kyle Larson","8","24","8","10","1","38","22.5","-2","123","153","-30","42","3","17.7%","0","209","63.8","27"
"Martin Truex Jr","15","4","27","32","1","40","22.1","-17","88","86","+2","32","9","35.9%","0","186","68.0","12"
"Matt DiBenedetto","16","13","28","19","1","30","16.1","-3","248","236","+12","166","7","62.7%","0","207","77.9","21"
"Michael McDowell","26","27","9","14","1","39","23.1","+12","138","121","+17","33","11","20.6%","1","209","64.8","23"
"Quin Houff","35","39","39","39","2","40","33.4","-4","60","87","-27","12","0","3.8%","0","89","33.2","1"
"Reed Sorenson","40","34","14","31","3","40","29.9","+9","113","95","+18","3","4","3.8%","0","192","42.9","6"
"Ricky Stenhouse Jr","1","2","31","20","1","36","10.9","-19","187","201","-14","141","1","73.7%","24","206","84.8","29"
"Ross Chastain","20","6","16","25","1","34","15.3","-5","204","197","+7","119","4","49.3%","0","201","73.3","0"
"Ryan Blaney","27","9","12","2","1","38","12.2","+25","279","266","+13","202","3","75.6%","4","209","89.2","43"
"Ryan Newman","7","19","1","9","1","31","12.6","-2","199","191","+8","96","7","56.5%","15","209","82.2","28"
"Ryan Preece","31","20","10","29","2","38","20.9","+2","186","190","-4","87","4","23.0%","0","198","56.8","8"
"Timmy Hill","32","36","24","27","1","40","25.7","+5","175","127","+48","24","4","13.9%","0","200","50.1","0"
"Ty Dillon","24","18","13","30","1","31","14.7","-6","271","240","+31","158","9","58.9%","0","198","79.6","8"
"Tyler Reddick","22","17","19","28","1","35","18.2","-6","245","208","+37","89","7","24.4%","0","199","73.4","9"
"William Byron","4","40","40","40","1","30","31.6","-36","47","54","-7","34","0","21.1%","0","58","64.2","1"
