"FIN","ST","Car #","Driver","Make","TOT PTS","F PTS","B PTS","PO PTS","Laps","Led","x Led","S1","S2","STUS"
"1","17","34","Michael McDowell","Ford","44","40","4","5","200","1","1","0","7","Running"
"2","12","9","Chase Elliott","Chevrolet","42","35","7","0","200","3","2","0","4","Running"
"3","4","3","Austin Dillon","Chevrolet","48","34","14","0","200","7","3","3","5","Running"
"4","8","4","Kevin Harvick","Ford","42","33","9","0","200","17","2","0","2","Running"
"5","25","11","Denny Hamlin","Toyota","52","32","20","2","200","98","6","1","1","Running"
"6","11","37","Ryan Preece","Chevrolet","40","31","9","0","200","0","0","2","0","Running"
"7","34","42","Ross Chastain","Chevrolet","32","30","2","0","200","0","0","9","0","Running"
"8","19","77","Jamie McMurray","Chevrolet","29","29","0","0","200","0","0","0","0","Running"
"9","16","7","Corey Lajoie","Chevrolet","28","28","0","0","200","0","0","0","0","Running"
"10","13","5","Kyle Larson","Chevrolet","37","27","10","0","200","1","1","4","8","Running"
"11","27","41","Cole Custer","Ford","27","26","1","0","200","1","1","10","0","Running"
"12","9","22","Joey Logano","Ford","33","25","8","0","199","26","2","8","6","Accident"
"13","24","2","Brad Keselowski","Ford","25","24","1","0","199","0","0","0","10","Accident"
"14","10","18","Kyle Busch","Toyota","25","23","2","0","199","0","0","0","9","Accident"
"15","39","33","Austin Cindric","Ford","0","0","0","0","199","2","1","5","0","Accident"
"16","5","20","Christopher Bell","Toyota","26","21","5","0","199","32","1","6","0","Running"
"17","6","23","Bubba Wallace","Toyota","32","20","12","0","198","1","1","7","3","Accident"
"18","21","47","Ricky Stenhouse Jr","Chevrolet","19","19","0","0","198","0","0","0","0","Running"
"19","30","14","Chase Briscoe","Ford","18","18","0","0","197","0","0","0","0","Running"
"20","28","53","Joey Gase","Ford","17","17","0","0","196","0","0","0","0","Running"
"21","35","51","Cody Ware","Chevrolet","16","16","0","0","196","0","0","0","0","Running"
"22","20","1","Kurt Busch","Chevrolet","15","15","0","0","195","0","0","0","0","Running"
"23","38","78","BJ McLeod","Ford","0","0","0","0","195","0","0","0","0","Running"
"24","37","52","Josh Bilicki","Ford","13","13","0","0","194","0","0","0","0","Running"
"25","26","19","Martin Truex Jr","Toyota","12","12","0","0","193","0","0","0","0","Running"
"26","2","24","William Byron","Chevrolet","11","11","0","0","191","0","0","0","0","Running"
"27","29","8","Tyler Reddick","Chevrolet","10","10","0","0","188","0","0","0","0","Running"
"28","40","16","Kaz Grala","Chevrolet","9","9","0","0","115","10","1","0","0","DVP"
"29","33","0","Quin Houff","Chevrolet","8","8","0","0","37","0","0","0","0","Accident"
"30","14","12","Ryan Blaney","Ford","7","7","0","0","14","0","0","0","0","Accident"
"31","22","17","Chris Buescher","Ford","6","6","0","0","14","0","0","0","0","DVP"
"32","36","38","Anthony Alfredo","Ford","5","5","0","0","14","0","0","0","0","DVP"
"33","23","21","Matt DiBenedetto","Ford","4","4","0","0","14","0","0","0","0","DVP"
"34","3","10","Aric Almirola","Ford","3","3","0","0","13","0","0","0","0","Accident"
"35","1","48","Alex Bowman","Chevrolet","2","2","0","0","13","1","1","0","0","Accident"
"36","15","99","Daniel Suarez","Chevrolet","1","1","0","0","13","0","0","0","0","Accident"
"37","18","36","David Ragan","Ford","1","1","0","0","13","0","0","0","0","Accident"
"38","7","6","Ryan Newman","Ford","1","1","0","0","13","0","0","0","0","Accident"
"39","31","43","Erik Jones","Chevrolet","1","1","0","0","13","0","0","0","0","Accident"
"40","32","15","Derrike Cope","Chevrolet","1","1","0","0","3","0","0","0","0","Accident"
